ten_tau,km_min,km_max,k_ko_hang,k_co_hang
HTL-1,0,16,3.82,0.00105
HTL-1,16,30,3.14,0.00089
HTL-1,31,60,2.59,0.00072
HTL-1,61,100,2.256,0.00062
HTL-1,101,300,2.095,0.00058
HTL-1,301,999999,2.18,0.0005253
HTL-2,0,16,3.82,0.00105
HTL-2,16,30,3.14,0.00089
HTL-2,31,60,2.59,0.00072
HTL-2,61,100,2.256,0.00062
HTL-2,101,300,2.095,0.00058
HTL-2,301,999999,2.18,0.0005253
HTL-3,0,16,3.82,0.00105
HTL-3,16,30,3.14,0.00089
HTL-3,31,60,2.59,0.00072
HTL-3,61,100,2.256,0.00062
HTL-3,101,300,2.095,0.00058
HTL-3,301,999999,2.18,0.0005253
HTV-05,0,16,3.52,0.00135
HTV-05,16,30,2.64,0.00105
HTV-05,31,60,2.238,0.00087
HTV-05,61,100,1.957,0.00077
HTV-05,101,300,1.686,0.00067
HTV-05,301,999999,1.753,0.000479
HTV-07,0,16,3.629,0.000998
HTV-07,16,30,2.983,0.000846
HTV-07,31,60,2.461,0.000684
HTV-07,61,100,2.143,0.000589
HTV-07,101,300,1.99,0.000551
HTV-07,301,999999,2.071,0.000499
HTV-09,0,16,3.52,0.00135
HTV-09,16,30,2.64,0.00105
HTV-09,31,60,2.238,0.00087
HTV-09,61,100,1.957,0.00077
HTV-09,101,300,1.686,0.00067
HTV-09,301,999999,1.753,0.000479
HTV-131,0,16,3.82,0.00105
HTV-131,16,30,3.14,0.00089
HTV-131,31,60,2.59,0.00072
HTV-131,61,100,2.256,0.00062
HTV-131,101,300,2.095,0.00058
HTV-131,301,999999,2.18,0.0005253
HTV-132,0,16,3.82,0.00105
HTV-132,16,30,3.14,0.00089
HTV-132,31,60,2.59,0.00072
HTV-132,61,100,2.256,0.00062
HTV-132,101,300,2.095,0.00058
HTV-132,301,999999,2.18,0.0005253
HTV-134,0,16,3.82,0.00105
HTV-134,16,30,3.14,0.00089
HTV-134,31,60,2.59,0.00072
HTV-134,61,100,2.256,0.00062
HTV-134,101,300,2.095,0.00058
HTV-134,301,999999,2.18,0.0005253
HTV-142,0,16,3.82,0.00105
HTV-142,16,30,3.14,0.00089
HTV-142,31,60,2.59,0.00072
HTV-142,61,100,2.256,0.00062
HTV-142,101,300,2.095,0.00058
HTV-142,301,999999,2.18,0.0005253
HTV-151,0,16,3.82,0.00105
HTV-151,16,30,3.14,0.00089
HTV-151,31,60,2.59,0.00072
HTV-151,61,100,2.256,0.00062
HTV-151,101,300,2.095,0.00058
HTV-151,301,999999,2.18,0.0005253
HTV-153,0,16,3.82,0.00105
HTV-153,16,30,3.14,0.00089
HTV-153,31,60,2.59,0.00072
HTV-153,61,100,2.256,0.00062
HTV-153,101,300,2.095,0.00058
HTV-153,301,999999,2.18,0.0005253
HTV-154,0,16,3.82,0.00105
HTV-154,16,30,3.14,0.00089
HTV-154,31,60,2.59,0.00072
HTV-154,61,100,2.256,0.00062
HTV-154,101,300,2.095,0.00058
HTV-154,301,999999,2.18,0.0005253
HTV-155,0,16,3.82,0.00105
HTV-155,16,30,3.14,0.00089
HTV-155,31,60,2.59,0.00072
HTV-155,61,100,2.256,0.00062
HTV-155,101,300,2.095,0.00058
HTV-155,301,999999,2.18,0.0005253
HTV-156,0,16,3.95,0.00096
HTV-156,16,30,3.26,0.00078
HTV-156,31,60,2.61,0.00064
HTV-156,61,100,2.514,0.00061
HTV-156,101,300,2.508,0.00062
HTV-156,301,999999,2.42,0.000475
HTV-157,0,16,3.82,0.00105
HTV-157,16,30,3.14,0.00089
HTV-157,31,60,2.59,0.00072
HTV-157,61,100,2.256,0.00062
HTV-157,101,300,2.095,0.00058
HTV-157,301,999999,2.18,0.0005253
HTV-161,0,16,3.95,0.00096
HTV-161,16,30,3.26,0.00078
HTV-161,31,60,2.61,0.00064
HTV-161,61,100,2.514,0.00061
HTV-161,101,300,2.508,0.00062
HTV-161,301,999999,2.42,0.000475
HTV-171,0,16,3.95,0.00096
HTV-171,16,30,3.26,0.00078
HTV-171,31,60,2.61,0.00064
HTV-171,61,100,2.514,0.00061
HTV-171,101,300,2.508,0.00062
HTV-171,301,999999,2.42,0.000475
HTV-201,0,16,4.26,0.00083
HTV-201,16,30,3.601,0.00069
HTV-201,31,60,2.66,0.00052
HTV-201,61,100,2.71,0.00054
HTV-201,101,300,2.69,0.00053
HTV-201,301,999999,3.084,0.000485
HTV-202,0,16,4.26,0.00083
HTV-202,16,30,3.601,0.00069
HTV-202,31,60,2.66,0.00052
HTV-202,61,100,2.71,0.00054
HTV-202,101,300,2.69,0.00053
HTV-202,301,999999,3.084,0.000485
HTV-203,0,16,4.26,0.00083
HTV-203,16,30,3.601,0.00069
HTV-203,31,60,2.66,0.00052
HTV-203,61,100,2.71,0.00054
HTV-203,101,300,2.69,0.00053
HTV-203,301,999999,3.084,0.000485
HTV-1401,0,16,3.82,0.00105
HTV-1401,16,30,3.14,0.00089
HTV-1401,31,60,2.59,0.00072
HTV-1401,61,100,2.256,0.00062
HTV-1401,101,300,2.095,0.00058
HTV-1401,301,999999,2.18,0.0005253
HTV-1402,0,16,3.82,0.00105
HTV-1402,16,30,3.14,0.00089
HTV-1402,31,60,2.59,0.00072
HTV-1402,61,100,2.256,0.00062
HTV-1402,101,300,2.095,0.00058
HTV-1402,301,999999,2.18,0.0005253
HTV-1403,0,16,3.82,0.00105
HTV-1403,16,30,3.14,0.00089
HTV-1403,31,60,2.59,0.00072
HTV-1403,61,100,2.256,0.00062
HTV-1403,101,300,2.095,0.00058
HTV-1403,301,999999,2.18,0.0005253
HTV-1404,0,16,3.82,0.00105
HTV-1404,16,30,3.14,0.00089
HTV-1404,31,60,2.59,0.00072
HTV-1404,61,100,2.256,0.00062
HTV-1404,101,300,2.095,0.00058
HTV-1404,301,999999,2.18,0.0005253
HTV-1405,0,16,3.82,0.00105
HTV-1405,16,30,3.14,0.00089
HTV-1405,31,60,2.59,0.00072
HTV-1405,61,100,2.256,0.00062
HTV-1405,101,300,2.095,0.00058
HTV-1405,301,999999,2.18,0.0005253
HTV-1406,0,16,3.82,0.00105
HTV-1406,16,30,3.14,0.00089
HTV-1406,31,60,2.59,0.00072
HTV-1406,61,100,2.256,0.00062
HTV-1406,101,300,2.095,0.00058
HTV-1406,301,999999,2.18,0.0005253
HTV-1407,0,16,3.82,0.00105
HTV-1407,16,30,3.14,0.00089
HTV-1407,31,60,2.59,0.00072
HTV-1407,61,100,2.256,0.00062
HTV-1407,101,300,2.095,0.00058
HTV-1407,301,999999,2.18,0.0005253
HTV-1408,0,16,3.82,0.00105
HTV-1408,16,30,3.14,0.00089
HTV-1408,31,60,2.59,0.00072
HTV-1408,61,100,2.256,0.00062
HTV-1408,101,300,2.095,0.00058
HTV-1408,301,999999,2.18,0.0005253
HTV-1409,0,16,3.82,0.00105
HTV-1409,16,30,3.14,0.00089
HTV-1409,31,60,2.59,0.00072
HTV-1409,61,100,2.256,0.00062
HTV-1409,101,300,2.095,0.00058
HTV-1409,301,999999,2.18,0.0005253
HTV-1410,0,16,3.82,0.00105
HTV-1410,16,30,3.14,0.00089
HTV-1410,31,60,2.59,0.00072
HTV-1410,61,100,2.256,0.00062
HTV-1410,101,300,2.095,0.00058
HTV-1410,301,999999,2.18,0.0005253
HTV-1411,0,16,3.82,0.00105
HTV-1411,16,30,3.14,0.00089
HTV-1411,31,60,2.59,0.00072
HTV-1411,61,100,2.256,0.00062
HTV-1411,101,300,2.095,0.00058
HTV-1411,301,999999,2.18,0.0005253
HTV-1412,0,16,3.82,0.00105
HTV-1412,16,30,3.14,0.00089
HTV-1412,31,60,2.59,0.00072
HTV-1412,61,100,2.256,0.00062
HTV-1412,101,300,2.095,0.00058
HTV-1412,301,999999,2.18,0.0005253
AG-21190,0,16,3.82,0.00105
AG-21190,16,30,3.14,0.00089
AG-21190,31,60,2.59,0.00072
AG-21190,61,100,2.256,0.00062
AG-21190,101,300,2.095,0.00058
AG-21190,301,999999,2.18,0.0005253
AG-21519,0,16,3.82,0.00105
AG-21519,16,30,3.14,0.00089
AG-21519,31,60,2.59,0.00072
AG-21519,61,100,2.256,0.00062
AG-21519,101,300,2.095,0.00058
AG-21519,301,999999,2.18,0.0005253
AG-26579,0,16,3.95,0.00096
AG-26579,16,30,3.26,0.00078
AG-26579,31,60,2.61,0.00064
AG-26579,61,100,2.514,0.00061
AG-26579,101,300,2.508,0.00062
AG-26579,301,999999,2.42,0.000475
AG-26237,0,16,4.26,0.00083
AG-26237,16,30,3.601,0.00069
AG-26237,31,60,2.66,0.00052
AG-26237,61,100,2.71,0.00054
AG-26237,101,300,2.69,0.00053
AG-26237,301,999999,3.084,0.000485
AG-26243,0,16,4.26,0.00083
AG-26243,16,30,3.601,0.00069
AG-26243,31,60,2.66,0.00052
AG-26243,61,100,2.71,0.00054
AG-26243,101,300,2.69,0.00053
AG-26243,301,999999,3.084,0.000485
HTV-152,0,16,3.95,0.00096
HTV-152,16,30,3.26,0.00078
HTV-152,31,60,2.61,0.00064
HTV-152,61,100,2.514,0.00061
HTV-152,101,300,2.508,0.00062
HTV-152,301,999999,2.42,0.000475
HTV-08,0,16,3.52,0.00135
HTV-08,16,30,2.983,0.000846
HTV-08,31,60,2.461,0.000684
HTV-08,61,100,2.143,0.000589
HTV-08,101,300,1.99,0.000551
HTV-08,301,999999,2.071,0.000499
Test Sao Chép 1,0,16,3.82,0.00105
Test Sao Chép 1,16,30,3.14,0.00089
Test Sao Chép 1,31,60,2.59,0.00072
Test Sao Chép 1,61,100,2.256,0.00062
Test Sao Chép 1,101,300,2.095,0.00058
Test Sao Chép 1,301,999999,2.18,0.0005253
