2025-12-04 16:25:28|THÊM|Cảng Phan Vũ (Long An) → test1|1500 km|Không có lý do
2025-12-04 16:26:36|SỬA|Cảng Phan Vũ (Long An) → test2|1505 km|test|Cũ: 306,Cảng Phan Vũ (Long An),test1,1500
2025-12-05 12:52:16|THÊM|Cảng Thành Tây Hạ (ĐN) → Cảng Phan Vũ (Long An)|155 km|Không có lý do
2025-12-06 20:07:44|THÊM|tets → Badico (BD)|150 km|Không có lý do
2025-12-10 15:22:53|THÊM|TN Phú Hữu → Cảng Quốc Hằng (ĐN)|31 km|Không có lý do
2025-12-12 14:16:25|THÊM|XM Hạ Long (HP) → Phao SSV01 (Nhà Bè)|5 km|Không có lý do
2025-12-12 14:20:33|THÊM|Phao SSV01 (Nhà Bè) → Tuấn An Phú (BD)|65 km|Không có lý do
2025-12-12 14:21:43|SỬA|Cảng Sotrans (Thủ Đức) → Phao PL4 (NB)|30 km|Do thiếu dấu ngoặc|Cũ: 1,Cảng Sotrans Thủ Đức,Phao PL4 (NB),30
2025-12-12 14:22:19|SỬA|Cảng Sotrans (Thủ Đức) → Phao Gò Gia|65 km|Do thiếu dấu ngoặc|Cũ: 2,Cảng Sotrans Thủ Đức,Phao Gò Gia,65
2025-12-12 14:22:40|SỬA|Cảng Sotrans (Thủ Đức) → Tân Uyên (BD)|80 km|Do thiếu dấu ngoặc|Cũ: 3,Cảng Sotrans Thủ Đức,Tân Uyên (BD),80
2025-12-12 14:22:55|SỬA|Cảng Sotrans (Thủ Đức) → Cảng An Ngãi (BRVT)|105 km|Do thiếu dấu ngoặc|Cũ: 4,Cảng Sotrans Thủ Đức,Cảng An Ngãi (BRVT),105
2025-12-12 14:23:11|SỬA|Cảng Sotrans (Thủ Đức) → Cảng Long Thuận (ĐN)|37 km|Do thiếu dấu ngoặc|Cũ: 5,Cảng Sotrans Thủ Đức,Cảng Long Thuận (ĐN),37
2025-12-12 14:30:03|THÊM|Tuấn An Phú (BD) → Cảng Quốc Hằng (ĐN)|19 km|Không có lý do
2025-12-12 14:41:07|SỬA|BMT Cần Thơ (Cái Cui) → Vĩnh Xương (AG)|140 km|Thiếu khoảng cách|Cũ: 240,BMT Cần Thơ (Cái Cui),Vĩnh Xương( AG),140
2025-12-12 14:41:48|THÊM|Vĩnh Xương (AG) → Vạn Phúc City (C.Bình Lợi)|288 km|Không có lý do
